Food Item, Dining Hall, Meal, Allergens, Dietary Restrictions, Date, Calories, Serving Size, Total Fat, Total Carbohydrates, Saturated Fat, Dietary Fiber , Trans Fat, Total Sugars, Cholesterol, Added Sugars, Sodium, Protein, Calcium, Iron, Vitamin D, Potassium
Cheesy Scrambled Eggs,Putnam,Breakfast,"Milk, Eggs","['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-19,158,3 OZ,10.5g,0g,4.4g,0g,0g,0g,305.6mg,0g,166.5mg,12.5g,104.3mg,1.9mg,1.7mcg,113.5mg
Chorizo Sausage Patties,Putnam,Breakfast,,"['Gluten Friendly', 'Less Sodium']",2023-01-19,317,2 EACH,28.7g,2g,9.1g,0g,0.2g,0g,58.5mg,0g,726.7mg,12.1g,26.2mg,1.5mg,mcg,mg
Cream of Wheat,Putnam,Breakfast,Wheat,"['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,72,8 OZ,0g,15.6g,0g,0g,0g,0.7g,0mg,0g,138.1mg,2.6g,175.3mg,5.9mg,0mcg,0mg
Hard Boiled Eggs,Putnam,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-19,150,2 EACH,10g,2g,3g,0g,0g,0g,430mg,0g,140mg,12g,40mg,1.4mg,0mcg,mg
Mini M & M Pancakes,Putnam,Breakfast,"Milk, Eggs, Wheat, Soybeans","['Less Sodium', 'Vegetarian']",2023-01-19,550,2 EA,23.6g,67.3g,4g,0g,0g,26.2g,117.4mg,22.7g,464.5mg,13.7g,317.6mg,3.6mg,0.7mcg,207.8mg
Scrambled Eggs,Putnam,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-19,132,3 OZ,8.5g,0g,2.8g,0g,0g,0g,320mg,0g,122.4mg,11.3g,48.9mg,2mg,1.9mcg,122.4mg
Skin-on Home Fries,Putnam,Breakfast,"Soybeans, Gluten","['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,135,3 OZ,6.9g,16.2g,1.2g,2g,0g,1g,0mg,0g,30.6mg,0g,20.3mg,0.4mg,0mcg,425.3mg
Sticky Rice,Putnam,Breakfast,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,185,4 OZ,0.3g,41g,0g,0g,0g,0g,0mg,0g,2.5mg,3.4g,6.6mg,0.4mg,0mcg,44.9mg
Chocolate Chip Muffins,Putnam,Breakfast,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-19,406,1 EACH,18.9g,53.7g,3.3g,0.5g,0g,35.2g,63.5mg,29.9g,228.8mg,4.7g,34.2mg,0.8mg,0.4mcg,81mg
Grilled Chicken Breast,Putnam,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-19,86,1 EACH,2.1g,0g,0.5g,0g,g,0g,48.3mg,0g,145mg,17.2g,mg,0.4mg,mcg,mg
Chef's Choice Soup du Jour,Putnam,Lunch,Soybeans,[],2023-01-19,23,6 OZL,0g,3.4g,0g,0.4g,0g,2g,0mg,0g,310.3mg,0.9g,44.6mg,0mg,0mcg,100.5mg
Beef Burger w/ Bun,Putnam,Lunch,"Wheat, Soybeans",['Less Sodium'],2023-01-19,367,1 EACH,16.7g,22g,5.9g,1g,0.7g,3g,80.7mg,0g,282.6mg,28.5g,65.4mg,3.6mg,0mcg,344.7mg
Crinkle Cut Fries,Putnam,Lunch,"Soybeans, Gluten","['Vegetarian', 'Vegan']",2023-01-19,240,4 OZ,17.7g,21g,1.8g,2g,0g,0g,0mg,0g,420.2mg,2g,0mg,0.4mg,mcg,280.2mg
Grilled Cheese,Putnam,Lunch,"Milk, Wheat, Soybeans","['Vegetarian', 'A vegetarian or vegan entree offfered at lunch or dinner that does not contain onions or garlic.']",2023-01-19,279,1 EACH,15.5g,25g,9.3g,2g,0g,3g,40.5mg,2g,786.8mg,9.1g,171.6mg,1.3mg,0.1mcg,120.8mg
Grilled Hot Dogs w/ Toasted Roll,Putnam,Lunch,"Wheat, Soybeans",[],2023-01-19,302,1 EA,18.4g,22g,5.8g,1g,0g,3g,30.4mg,0g,775.5mg,10.1g,66.3mg,1.8mg,0mcg,mg
Plant Forward Quesadillas,Putnam,Lunch,"Wheat, Soybeans, Coconut","['Contains Nuts', 'Smart Check', 'Vegetarian', 'Vegan']",2023-01-19,199,1 EACH,6g,21.8g,1.8g,0.3g,0g,1.8g,0mg,1g,570.4mg,12.9g,140.9mg,2.5mg,0mcg,71.7mg
