Food Item, Dining Hall, Meal, Allergens, Dietary Restrictions, Date, Calories, Serving Size, Total Fat, Total Carbohydrates, Saturated Fat, Dietary Fiber , Trans Fat, Total Sugars, Cholesterol, Added Sugars, Sodium, Protein, Calcium, Iron, Vitamin D, Potassium
Buttermilk Pancakes,Gelfenbien,Breakfast,"Milk, Eggs, Wheat","['Less Sodium', 'Vegetarian']",2023-01-19,512,2 EACH,24g,57.1g,2.5g,0g,0g,17.2g,114.6mg,14.2g,453.1mg,13.1g,300.6mg,3.6mg,0.7mcg,207.8mg
Cheesy Scrambled Eggs,Gelfenbien,Breakfast,"Milk, Eggs","['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-19,158,3 OZ,10.5g,0g,4.4g,0g,0g,0g,305.6mg,0g,166.5mg,12.5g,104.3mg,1.9mg,1.7mcg,113.5mg
Chocolate Chip Pancakes,Gelfenbien,Breakfast,"Milk, Eggs, Wheat, Soybeans","['Less Sodium', 'Vegetarian']",2023-01-19,548,2 EACH,24.5g,66.6g,4.6g,0g,0g,24.7g,114.6mg,14.2g,453.1mg,14g,300.6mg,4mg,0.7mcg,250.4mg
Hard Boiled Eggs,Gelfenbien,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-19,150,2 EACH,10g,2g,3g,0g,0g,0g,430mg,0g,140mg,12g,40mg,1.4mg,0mcg,mg
Home Fries,Gelfenbien,Breakfast,Gluten,"['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,194,4 OZ,11.2g,22.4g,0.8g,0g,0g,0g,0mg,0g,57.5mg,1.4g,0mg,0mg,0mcg,mg
Overnight Oats,Gelfenbien,Breakfast,"Milk, Gluten","['Less Sodium', 'Vegetarian']",2023-01-19,164,1/2 CUP,3.3g,29.5g,0.5g,0g,0g,10.1g,1.2mg,7.7g,39mg,6.4g,139.7mg,1.1mg,1mcg,218.1mg
Scrambled Eggs,Gelfenbien,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-19,132,3 OZ,8.5g,0g,2.8g,0g,0g,0g,320mg,0g,122.4mg,11.3g,48.9mg,2mg,1.9mcg,122.4mg
Turkey Sausage Links,Gelfenbien,Breakfast,,"['Gluten Friendly', 'Less Sodium']",2023-01-19,153,2 EACH,12g,0g,3.8g,0g,0g,0g,65.7mg,0g,470.7mg,10.9g,0mg,0.8mg,0mcg,mg
Breakfast Potatoes,Gelfenbien,Breakfast,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,126,4 OZ,3g,22.7g,1g,0.2g,0g,0g,0mg,0g,350.1mg,1.5g,2.2mg,0.1mg,0mcg,9.6mg
Hard Boiled Eggs,Gelfenbien,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-19,150,2 EACH,10g,2g,3g,0g,0g,0g,430mg,0g,140mg,12g,40mg,1.4mg,0mcg,mg
Oatmeal Cereal,Gelfenbien,Breakfast,Gluten,"['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,142,6 OZ,2.8g,25.5g,0.5g,0g,0g,0.9g,0mg,0g,333.4mg,4.7g,24mg,1.4mg,0mcg,141.7mg
Scrambled Eggs,Gelfenbien,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-19,132,3 OZ,8.5g,0g,2.8g,0g,0g,0g,320mg,0g,122.4mg,11.3g,48.9mg,2mg,1.9mcg,122.4mg
Omelet Bar,Gelfenbien,Breakfast,,[],2023-01-19,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,36.3mg,0g,27.2mg,0mg,0mcg,0mg
Chocolate Chip Muffins,Gelfenbien,Breakfast,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-19,406,1 EACH,18.9g,53.7g,3.3g,0.5g,0g,35.2g,63.5mg,29.9g,228.8mg,4.7g,34.2mg,0.8mg,0.4mcg,81mg
Chicken & Broccoli Penne,Gelfenbien,Lunch,"Milk, Wheat, Soybeans","['Less Sodium', 'Smart Check']",2023-01-19,268,8 OZ,4.2g,36.3g,1g,2.8g,0g,3.1g,34.2mg,0g,351.1mg,19.4g,63.5mg,2.2mg,0mcg,157.3mg
Battered Cod,Gelfenbien,Lunch,"Fish, Wheat, Soybeans, Gluten",['Less Sodium'],2023-01-19,225,1 PIECE,14.5g,12.5g,1.8g,0g,0g,0g,26.7mg,0g,364.9mg,11.6g,0mg,1mg,0.8mcg,213.6mg
Jamaican Beef Pattie,Gelfenbien,Lunch,"Wheat, Soybeans",[],2023-01-19,450,1 EACH,25g,44g,5g,0g,0g,1g,35mg,0g,590mg,14g,2mg,4.5mg,mcg,mg
Protein Packed Caprese Cutlet,Gelfenbien,Lunch,"Milk, Wheat, Soybeans","['Less Sodium', 'Vegetarian']",2023-01-19,236,1 EACH,12.3g,21g,3.2g,0.2g,0g,2.4g,8.8mg,1g,414.8mg,12.1g,102.1mg,1.5mg,0mcg,243.6mg
Beef Barley Soup,Gelfenbien,Lunch,"Soybeans, Gluten",['Less Sodium'],2023-01-19,75,6 OZL,1.3g,8.8g,0.4g,1.7g,0g,1.9g,15.4mg,0g,192.6mg,6.9g,64.1mg,0.8mg,0mcg,317.4mg
"Grilled Ham, Apple, & Cheddar Panini",Gelfenbien,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).",[],2023-01-19,385,1 HALF,20.8g,30.5g,10.4g,4.4g,0g,11g,71.9mg,2.5g,1132.9mg,23.1g,187.3mg,1.9mg,0mcg,116.9mg
Veggie Medley,Gelfenbien,Lunch,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,45,3 OZ,1.7g,6.6g,0.5g,2.2g,0g,3.3g,0mg,0g,83.5mg,1.9g,32.2mg,0.6mg,0mcg,304.8mg
White Rice,Gelfenbien,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,91,3 OZ,0g,20.4g,0g,0g,0g,0g,0mg,0g,2.4mg,2.1g,19.5mg,1.1mg,0mcg,44mg
Marinara Sauce,Gelfenbien,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,90,4 OZL,4g,12g,0g,2g,g,10g,0mg,0g,479mg,2g,40mg,1.4mg,0mcg,mg
Grilled Cheese,Gelfenbien,Lunch,"Milk, Wheat, Soybeans","['Vegetarian', 'A vegetarian or vegan entree offfered at lunch or dinner that does not contain onions or garlic.']",2023-01-19,279,1 EACH,15.5g,25g,9.3g,2g,0g,3g,40.5mg,2g,786.8mg,9.1g,171.6mg,1.3mg,0.1mcg,120.8mg
Grilled Chicken Breast,Gelfenbien,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-19,86,1 EACH,2.1g,0g,0.5g,0g,g,0g,48.3mg,0g,145mg,17.2g,mg,0.4mg,mcg,mg
Signature Beef Burger,Gelfenbien,Lunch,"Wheat, Soybeans",['Less Sodium'],2023-01-19,367,1 EACH,16.7g,22g,5.9g,1g,0.7g,3g,80.7mg,0g,282.6mg,28.5g,65.4mg,3.6mg,0mcg,344.7mg
Straight Cut French Fries,Gelfenbien,Lunch,"Soybeans, Gluten","['Vegetarian', 'Vegan']",2023-01-19,196,4 OZ,15.2g,17g,1.3g,1g,0g,1g,0mg,0g,520.3mg,1g,20mg,0.4mg,mcg,260.2mg
Baked Beans,Gelfenbien,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,138,4 OZ,0g,27.8g,0g,0.8g,0g,12.3g,0mg,9.4g,365.4mg,8g,43.3mg,1.6mg,0mcg,319.7mg
Beef Hot Dogs,Gelfenbien,Lunch,Soybeans,"['Gluten Friendly', 'Less Sodium']",2023-01-19,162,1 EA,13.3g,1g,4.6g,0g,0.5g,1g,34.8mg,0g,387.9mg,8g,25.9mg,1.1mg,mcg,mg
California Veggie Burger w/ Bun,Gelfenbien,Lunch,"Wheat, Soybeans, Gluten","['Smart Check', 'Vegetarian', 'Vegan']",2023-01-19,290,1 EACH,7g,43g,0g,6g,0g,5g,0mg,0g,510mg,11g,100mg,3.8mg,0mcg,mg
